"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2010Q3","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q3","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q3","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2010Q3","Hungary","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q3","Malta","Total","Total","Total","Geneva Convention status","Person","20"
"2010Q3","Netherlands","Total","Total","Total","Geneva Convention status","Person","220"
"2010Q3","Austria","Total","Total","Total","Geneva Convention status","Person","565"
"2010Q3","Poland","Total","Total","Total","Geneva Convention status","Person","20"
"2010Q3","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q3","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2010Q3","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q3","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q3","Finland","Total","Total","Total","Geneva Convention status","Person","35"
"2010Q3","Sweden","Total","Total","Total","Geneva Convention status","Person","595"
"2010Q3","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,140"
"2010Q3","Norway","Total","Total","Total","Geneva Convention status","Person","785"
"2010Q4","Belgium","Total","Total","Total","Geneva Convention status","Person","825"
"2010Q4","Bulgaria","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q4","Czech Republic","Total","Total","Total","Geneva Convention status","Person","20"
"2010Q4","Denmark","Total","Total","Total","Geneva Convention status","Person","180"
"2010Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,660"
"2010Q4","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q4","Ireland","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q4","Greece","Total","Total","Total","Geneva Convention status","Person","30"
"2010Q4","Spain","Total","Total","Total","Geneva Convention status","Person","60"
"2010Q4","France","Total","Total","Total","Geneva Convention status","Person","1,060"
"2010Q4","Italy","Total","Total","Total","Geneva Convention status","Person","310"
"2010Q4","Cyprus","Total","Total","Total","Geneva Convention status","Person","10"
"2010Q4","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q4","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q4","Luxembourg","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q4","Hungary","Total","Total","Total","Geneva Convention status","Person","10"
"2010Q4","Malta","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q4","Netherlands","Total","Total","Total","Geneva Convention status","Person","225"
"2010Q4","Austria","Total","Total","Total","Geneva Convention status","Person","485"
"2010Q4","Poland","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q4","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2010Q4","Romania","Total","Total","Total","Geneva Convention status","Person","15"
"2010Q4","Slovenia","Total","Total","Total","Geneva Convention status","Person","10"
"2010Q4","Slovakia","Total","Total","Total","Geneva Convention status","Person","5"
"2010Q4","Finland","Total","Total","Total","Geneva Convention status","Person","45"
"2010Q4","Sweden","Total","Total","Total","Geneva Convention status","Person","525"
"2010Q4","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,260"
"2010Q4","Norway","Total","Total","Total","Geneva Convention status","Person","950"
"2011Q1","Belgium","Total","Total","Total","Geneva Convention status","Person","860"
"2011Q1","Bulgaria","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q1","Czech Republic","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q1","Denmark","Total","Total","Total","Geneva Convention status","Person","125"
"2011Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,785"
"2011Q1","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q1","Ireland","Total","Total","Total","Geneva Convention status","Person","15"
"2011Q1","Greece","Total","Total","Total","Geneva Convention status","Person","20"
