"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2003M03","Bulgaria","Rejected","Total","Person","50"
"2003M03","Czech Republic","Rejected","Total","Person","610"
"2003M03","Denmark","Rejected","Total","Person","280"
"2003M03","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,520"
"2003M03","Estonia","Rejected","Total","Person","0"
"2003M03","Ireland","Rejected","Total","Person","645"
"2003M03","Greece","Rejected","Total","Person","225"
"2003M03","Spain","Rejected","Total","Person","515"
"2003M03","France","Rejected","Total","Person","4,120"
"2003M03","Italy","Rejected","Total","Person",":"
"2003M03","Cyprus","Rejected","Total","Person",":"
"2003M03","Latvia","Rejected","Total","Person","0"
"2003M03","Lithuania","Rejected","Total","Person","10"
"2003M03","Luxembourg","Rejected","Total","Person",":"
"2003M03","Hungary","Rejected","Total","Person","125"
"2003M03","Malta","Rejected","Total","Person","5"
"2003M03","Netherlands","Rejected","Total","Person","1,465"
"2003M03","Austria","Rejected","Total","Person","345"
"2003M03","Poland","Rejected","Total","Person","435"
"2003M03","Portugal","Rejected","Total","Person","5"
"2003M03","Romania","Rejected","Total","Person",":"
"2003M03","Slovenia","Rejected","Total","Person","15"
"2003M03","Slovakia","Rejected","Total","Person","30"
"2003M03","Finland","Rejected","Total","Person","250"
"2003M03","Sweden","Rejected","Total","Person","1,625"
"2003M03","United Kingdom","Rejected","Total","Person","6,870"
"2003M03","Norway","Rejected","Total","Person","830"
"2003M04","Belgium","Rejected","Total","Person",":"
"2003M04","Bulgaria","Rejected","Total","Person","40"
"2003M04","Czech Republic","Rejected","Total","Person","700"
"2003M04","Denmark","Rejected","Total","Person","215"
"2003M04","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","5,220"
"2003M04","Estonia","Rejected","Total","Person","0"
"2003M04","Ireland","Rejected","Total","Person","480"
"2003M04","Greece","Rejected","Total","Person","405"
"2003M04","Spain","Rejected","Total","Person","425"
"2003M04","France","Rejected","Total","Person","4,995"
"2003M04","Italy","Rejected","Total","Person",":"
"2003M04","Cyprus","Rejected","Total","Person",":"
"2003M04","Latvia","Rejected","Total","Person","5"
"2003M04","Lithuania","Rejected","Total","Person","5"
"2003M04","Luxembourg","Rejected","Total","Person",":"
"2003M04","Hungary","Rejected","Total","Person","175"
"2003M04","Malta","Rejected","Total","Person","10"
"2003M04","Netherlands","Rejected","Total","Person","1,575"
"2003M04","Austria","Rejected","Total","Person","355"
"2003M04","Poland","Rejected","Total","Person","295"
"2003M04","Portugal","Rejected","Total","Person","5"
"2003M04","Romania","Rejected","Total","Person",":"
"2003M04","Slovenia","Rejected","Total","Person","15"
"2003M04","Slovakia","Rejected","Total","Person","30"
"2003M04","Finland","Rejected","Total","Person","165"
"2003M04","Sweden","Rejected","Total","Person","1,685"
"2003M04","United Kingdom","Rejected","Total","Person","4,460"
"2003M04","Norway","Rejected","Total","Person","815"
"2003M05","Belgium","Rejected","Total","Person",":"
"2003M05","Bulgaria","Rejected","Total","Person","15"
"2003M05","Czech Republic","Rejected","Total","Person","700"
"2003M05","Denmark","Rejected","Total","Person","285"
"2003M05","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","5,120"
"2003M05","Estonia","Rejected","Total","Person","0"
"2003M05","Ireland","Rejected","Total","Person","575"
"2003M05","Greece","Rejected","Total","Person","290"
"2003M05","Spain","Rejected","Total","Person","445"
"2003M05","France","Rejected","Total","Person","4,860"
"2003M05","Italy","Rejected","Total","Person",":"
"2003M05","Cyprus","Rejected","Total","Person",":"
"2003M05","Latvia","Rejected","Total","Person","0"
"2003M05","Lithuania","Rejected","Total","Person","10"
"2003M05","Luxembourg","Rejected","Total","Person",":"
"2003M05","Hungary","Rejected","Total","Person","95"
"2003M05","Malta","Rejected","Total","Person","5"
"2003M05","Netherlands","Rejected","Total","Person","1,250"
"2003M05","Austria","Rejected","Total","Person","420"
"2003M05","Poland","Rejected","Total","Person","250"
"2003M05","Portugal","Rejected","Total","Person","15"
"2003M05","Romania","Rejected","Total","Person",":"
"2003M05","Slovenia","Rejected","Total","Person","5"
"2003M05","Slovakia","Rejected","Total","Person","25"
"2003M05","Finland","Rejected","Total","Person","155"
"2003M05","Sweden","Rejected","Total","Person","1,695"
"2003M05","United Kingdom","Rejected","Total","Person","5,490"
"2003M05","Norway","Rejected","Total","Person","685"
"2003M06","Belgium","Rejected","Total","Person",":"
"2003M06","Bulgaria","Rejected","Total","Person","40"
"2003M06","Czech Republic","Rejected","Total","Person","765"
"2003M06","Denmark","Rejected","Total","Person","205"
"2003M06","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","4,510"
"2003M06","Estonia","Rejected","Total","Person","0"
"2003M06","Ireland","Rejected","Total","Person","515"
"2003M06","Greece","Rejected","Total","Person","330"
"2003M06","Spain","Rejected","Total","Person","620"
"2003M06","France","Rejected","Total","Person","5,640"
"2003M06","Italy","Rejected","Total","Person",":"
"2003M06","Cyprus","Rejected","Total","Person",":"
"2003M06","Latvia","Rejected","Total","Person","0"
"2003M06","Lithuania","Rejected","Total","Person","0"
"2003M06","Luxembourg","Rejected","Total","Person",":"
"2003M06","Hungary","Rejected","Total","Person","45"
"2003M06","Malta","Rejected","Total","Person","20"
"2003M06","Netherlands","Rejected","Total","Person","930"
"2003M06","Austria","Rejected","Total","Person","405"
"2003M06","Poland","Rejected","Total","Person","200"
"2003M06","Portugal","Rejected","Total","Person","10"
"2003M06","Romania","Rejected","Total","Person",":"
"2003M06","Slovenia","Rejected","Total","Person","10"
"2003M06","Slovakia","Rejected","Total","Person","30"
"2003M06","Finland","Rejected","Total","Person","240"
"2003M06","Sweden","Rejected","Total","Person","1,820"
