"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M11","Romania","Geneva Convention status","Total","Person",":"
"2002M11","Slovenia","Geneva Convention status","Total","Person","0"
"2002M11","Slovakia","Geneva Convention status","Total","Person",":"
"2002M11","Finland","Geneva Convention status","Total","Person","0"
"2002M11","Sweden","Geneva Convention status","Total","Person","40"
"2002M11","United Kingdom","Geneva Convention status","Total","Person","725"
"2002M11","Norway","Geneva Convention status","Total","Person",":"
"2002M12","Belgium","Geneva Convention status","Total","Person",":"
"2002M12","Bulgaria","Geneva Convention status","Total","Person","0"
"2002M12","Czech Republic","Geneva Convention status","Total","Person","20"
"2002M12","Denmark","Geneva Convention status","Total","Person",":"
"2002M12","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","270"
"2002M12","Estonia","Geneva Convention status","Total","Person","0"
"2002M12","Ireland","Geneva Convention status","Total","Person",":"
"2002M12","Greece","Geneva Convention status","Total","Person","5"
"2002M12","Spain","Geneva Convention status","Total","Person","0"
"2002M12","France","Geneva Convention status","Total","Person","415"
"2002M12","Italy","Geneva Convention status","Total","Person",":"
"2002M12","Cyprus","Geneva Convention status","Total","Person",":"
"2002M12","Latvia","Geneva Convention status","Total","Person","0"
"2002M12","Lithuania","Geneva Convention status","Total","Person","0"
"2002M12","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M12","Hungary","Geneva Convention status","Total","Person","5"
"2002M12","Malta","Geneva Convention status","Total","Person","0"
"2002M12","Netherlands","Geneva Convention status","Total","Person","20"
"2002M12","Austria","Geneva Convention status","Total","Person","105"
"2002M12","Poland","Geneva Convention status","Total","Person","5"
"2002M12","Portugal","Geneva Convention status","Total","Person","0"
"2002M12","Romania","Geneva Convention status","Total","Person",":"
"2002M12","Slovenia","Geneva Convention status","Total","Person","0"
"2002M12","Slovakia","Geneva Convention status","Total","Person",":"
"2002M12","Finland","Geneva Convention status","Total","Person","0"
"2002M12","Sweden","Geneva Convention status","Total","Person","45"
"2002M12","United Kingdom","Geneva Convention status","Total","Person","620"
"2002M12","Norway","Geneva Convention status","Total","Person",":"
"2003M01","Belgium","Geneva Convention status","Total","Person",":"
"2003M01","Bulgaria","Geneva Convention status","Total","Person","0"
"2003M01","Czech Republic","Geneva Convention status","Total","Person","15"
"2003M01","Denmark","Geneva Convention status","Total","Person","70"
"2003M01","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","440"
"2003M01","Estonia","Geneva Convention status","Total","Person","0"
"2003M01","Ireland","Geneva Convention status","Total","Person","40"
"2003M01","Greece","Geneva Convention status","Total","Person","0"
"2003M01","Spain","Geneva Convention status","Total","Person","10"
"2003M01","France","Geneva Convention status","Total","Person","440"
"2003M01","Italy","Geneva Convention status","Total","Person",":"
"2003M01","Cyprus","Geneva Convention status","Total","Person",":"
"2003M01","Latvia","Geneva Convention status","Total","Person","0"
"2003M01","Lithuania","Geneva Convention status","Total","Person","0"
"2003M01","Luxembourg","Geneva Convention status","Total","Person",":"
"2003M01","Hungary","Geneva Convention status","Total","Person","25"
"2003M01","Malta","Geneva Convention status","Total","Person","0"
"2003M01","Netherlands","Geneva Convention status","Total","Person","35"
"2003M01","Austria","Geneva Convention status","Total","Person","90"
"2003M01","Poland","Geneva Convention status","Total","Person","20"
"2003M01","Portugal","Geneva Convention status","Total","Person","0"
"2003M01","Romania","Geneva Convention status","Total","Person",":"
"2003M01","Slovenia","Geneva Convention status","Total","Person","0"
"2003M01","Slovakia","Geneva Convention status","Total","Person","0"
"2003M01","Finland","Geneva Convention status","Total","Person","0"
"2003M01","Sweden","Geneva Convention status","Total","Person","25"
"2003M01","United Kingdom","Geneva Convention status","Total","Person","640"
"2003M01","Norway","Geneva Convention status","Total","Person","50"
"2003M02","Belgium","Geneva Convention status","Total","Person",":"
"2003M02","Bulgaria","Geneva Convention status","Total","Person","5"
"2003M02","Czech Republic","Geneva Convention status","Total","Person","20"
"2003M02","Denmark","Geneva Convention status","Total","Person","60"
"2003M02","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","440"
"2003M02","Estonia","Geneva Convention status","Total","Person","0"
"2003M02","Ireland","Geneva Convention status","Total","Person","35"
"2003M02","Greece","Geneva Convention status","Total","Person","5"
"2003M02","Spain","Geneva Convention status","Total","Person","10"
"2003M02","France","Geneva Convention status","Total","Person","390"
"2003M02","Italy","Geneva Convention status","Total","Person",":"
"2003M02","Cyprus","Geneva Convention status","Total","Person",":"
"2003M02","Latvia","Geneva Convention status","Total","Person","0"
"2003M02","Lithuania","Geneva Convention status","Total","Person","0"
"2003M02","Luxembourg","Geneva Convention status","Total","Person",":"
"2003M02","Hungary","Geneva Convention status","Total","Person","15"
"2003M02","Malta","Geneva Convention status","Total","Person","5"
"2003M02","Netherlands","Geneva Convention status","Total","Person","20"
"2003M02","Austria","Geneva Convention status","Total","Person","125"
"2003M02","Poland","Geneva Convention status","Total","Person","10"
"2003M02","Portugal","Geneva Convention status","Total","Person","0"
"2003M02","Romania","Geneva Convention status","Total","Person",":"
"2003M02","Slovenia","Geneva Convention status","Total","Person","0"
"2003M02","Slovakia","Geneva Convention status","Total","Person","0"
"2003M02","Finland","Geneva Convention status","Total","Person","0"
"2003M02","Sweden","Geneva Convention status","Total","Person","50"
"2003M02","United Kingdom","Geneva Convention status","Total","Person","735"
